127.0.0.1 - - [17/Feb/2025:12:06:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:06:17 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:06:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:09:44 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:11:19 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:11:25 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:12:46 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:12:50 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:19:11 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:19:45 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:32:53 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [17/Feb/2025:12:32:58 +0530] "GET /Myfrsserv/Myfirstserver.html HTTP/1.1" 304 -
